'1', 'statDate', '日期', '1', '1', '1'
'2', 'searchEngine', '搜索引擎', '1', '1', '2'
'3', 'product', '产品名称', '1', '1', '3'
'4', 'account', '账户名称', '1', '1', '4'
'5', 'campaign', '推广计划', '1', '1', '5'
'6', 'adGroup', '推广单元', '1', '1', '6'
'7', 'keywordLinkUrl', '着陆页', '1', '1', '7'
'8', 'keyword', '关键词', '1', '1', '8'
'9', 'impressions', '展现量', '2', '2', '1'
'10', 'clicks', '点击量', '2', '2', '2'
'11', 'clicks/impressions', '点击率', '2', '2', '3'
'12', 'cost', '消费', '2', '2', '4'
'13', 'cost/clicks', '平均点击价格', '2', '2', '5'
'14', 'avg(avgPosition)', '平均排名', '2', '2', '6'
'15', 'goalValueAll', '订单金额', '2', '2', '7'
'16', 'bounces', '跳出数', '3', '2', '1'
'17', 'exits', '退出数', '3', '2', '2'
'18', 'visits', '访问数', '3', '2', '3'
'19', 'timeOnSite/visits', '平均访问时长', '3', '2', '4'
'20', 'timeOnSite', '网站停留时间', '3', '2', '5'
'21', 'bounces/visits', '跳出率', '3', '2', '6'
'22', 'newVisits', '新访问数', '3', '0', '7'
'23', 'pageViews', '页面浏览量', '3', '2', '8'
'24', 'websitedata1', '网站自定义数据1', '3', '2', '9'
'25', 'websitedata2', '网站自定义数据2', '3', '2', '10'
'28', 'costPerConversion', '转化成本', '4', '0', NULL
'29', 'roiRate', 'ROI', '4', '0', NULL
'30', 'revenue', '收入', '4', '0', NULL
'31', 'transactionRevenue', '交易收入', '4', '0', NULL
'32', 'goal1Completions', 'GA转化目标1', '4', '0', NULL
'33', 'goal2Completions', 'GA转化目标2', '4', '0', NULL
'34', 'goal3Completions', 'GA转化目标3', '4', '0', NULL
'35', 'goal4Completions', 'GA转化目标4', '4', '0', NULL
'36', 'goal5Completions', 'GA转化目标5', '4', '0', NULL
'37', 'goal6Completions', 'GA转化目标6', '4', '0', NULL
'38', 'goal7Completions', 'GA转化目标7', '4', '0', NULL
'39', 'goal8Completions', 'GA转化目标8', '4', '0', NULL
'40', 'goal9Completions', 'GA转化目标9', '4', '0', NULL
'41', 'goal10Completions', 'GA转化目标10', '4', '0', NULL
'42', 'goal11Completions', 'GA转化目标11', '4', '0', NULL
'43', 'goal12Completions', 'GA转化目标12', '4', '0', NULL
'44', 'goal13Completions', 'GA转化目标13', '4', '0', NULL
'45', 'goal14Completions', 'GA转化目标14', '4', '0', NULL
'46', 'goal15Completions', 'GA转化目标15', '4', '0', NULL
'47', 'goal16Completions', 'GA转化目标16', '4', '0', NULL
'48', 'goal17Completions', 'GA转化目标17', '4', '0', NULL
'49', 'goal18Completions', 'GA转化目标18', '4', '0', NULL
'50', 'goal19Completions', 'GA转化目标19', '4', '0', NULL
'51', 'goal20Completions', 'GA转化目标20', '4', '0', NULL
'56', 'user1Completions', '自定义数据1', '4', '0', '1'
'57', 'user2Completions', '自定义数据2', '4', '0', '1'
'58', 'user3Completions', '自定义数据3', '4', '0', '1'
'59', 'user4Completions', '自定义数据4', '4', '0', NULL
'60', 'user5Completions', '自定义数据5', '4', '0', NULL
'61', 'user6Completions', '自定义数据6', '4', '0', NULL
'62', 'user7Completions', '自定义数据7', '4', '0', NULL
'63', 'user8Completions', '自定义数据8', '4', '0', NULL
'64', 'user9Completions', '自定义数据9', '4', '0', NULL
'65', 'user10Completions', '自定义数据10', '4', '0', NULL
'66', 'user11Completions', '自定义数据11', '4', '0', NULL
'67', 'user12Completions', '自定义数据12', '4', '0', NULL
'68', 'user13Completions', '自定义数据13', '4', '0', NULL
'69', 'user14Completions', '自定义数据14', '4', '0', NULL
'70', 'user15Completions', '自定义数据15', '4', '0', NULL
'71', 'user16Completions', '自定义数据16', '4', '0', NULL
'72', 'user17Completions', '自定义数据17', '4', '0', NULL
'73', 'user18Completions', '自定义数据18', '4', '0', NULL
'74', 'user19Completions', '自定义数据19', '4', '0', NULL
'75', 'user20Completions', '自定义数据20', '4', '0', NULL
'76', 'Ccalls1Completions', 'CC转化1', '4', '0', NULL
'77', 'Ccalls2Completions', 'CC转化2', '4', '0', NULL
'78', 'Ccalls3Completions', 'CC转化3', '4', '0', NULL
'79', 'Ccalls4Completions', 'CC转化4', '4', '0', NULL
'80', 'Ccalls5Completions', 'CC转化5', '4', '0', NULL
'81', 'Ccalls6Completions', 'CC转化6', '4', '0', NULL
'82', 'Ccalls7Completions', 'CC转化7', '4', '0', NULL
'83', 'Ccalls8Completions', 'CC转化8', '4', '0', NULL
'84', 'Ccalls9Completions', 'CC转化9', '4', '0', NULL
'85', 'Ccalls10Completions', 'CC转化10', '4', '0', NULL
'86', 'Ccalls11Completions', 'CC转化11', '4', '0', NULL
'87', 'Ccalls12Completions', 'CC转化12', '4', '0', NULL
'88', 'Ccalls13Completions', 'CC转化13', '4', '0', NULL
'89', 'Ccalls14Completions', 'CC转化14', '4', '0', NULL
'90', 'Ccalls15Completions', 'CC转化15', '4', '0', NULL
'91', 'Ccalls16Completions', 'CC转化16', '4', '0', NULL
'92', 'Ccalls17Completions', 'CC转化17', '4', '0', NULL
'93', 'Ccalls18Completions', 'CC转化18', '4', '0', NULL
'94', 'Ccalls19Completions', 'CC转化19', '4', '0', NULL
'95', 'Ccalls20Completions', 'CC转化20', '4', '0', NULL
'96', 'CAnalysis1', 'CA转化1', '4', '0', NULL
'97', 'CAnalysis2', 'CA转化2', '4', '0', NULL
'98', 'CAnalysis3', 'CA转化3', '4', '0', NULL
'99', 'CAnalysis4', 'CA转化4', '4', '0', NULL
'100', 'CAnalysis5', 'CA转化5', '4', '0', NULL
'101', 'CAnalysis6', 'CA转化6', '4', '0', NULL
'102', 'CAnalysis7', 'CA转化7', '4', '0', NULL
'103', 'CAnalysis8', 'CA转化8', '4', '0', NULL
'104', 'CAnalysis9', 'CA转化9', '4', '0', NULL
'105', 'CAnalysis10', 'CA转化10', '4', '0', NULL
'106', 'CAnalysis11', 'CA转化11', '4', '0', NULL
'107', 'CAnalysis12', 'CA转化12', '4', '0', NULL
'108', 'CAnalysis13', 'CA转化13', '4', '0', NULL
'109', 'CAnalysis14', 'CA转化14', '4', '0', NULL
'110', 'CAnalysis15', 'CA转化15', '4', '0', NULL
'111', 'CAnalysis16', 'CA转化16', '4', '0', NULL
'112', 'CAnalysis17', 'CA转化17', '4', '0', NULL
'113', 'CAnalysis18', 'CA转化18', '4', '0', NULL
'114', 'CAnalysis19', 'CA转化19', '4', '0', NULL
'115', 'CAnalysis20', 'CA转化20', '4', '0', NULL
'117', 'user1Completions/clicks', '自定义数据1转化率', '4', '0', NULL
'118', 'user2Completions/clicks', '自定义数据2转化率', '4', '0', NULL
'119', 'user3Completions/clicks', '自定义数据3转化率', '4', '0', NULL
'120', 'cost/user1Completions', '每自定义数据1花费', '4', '0', NULL
'121', 'cost/user2Completions', '每自定义数据2花费', '4', '0', NULL
'122', 'cost/user3Completions', '每自定义数据3花费', '4', '0', NULL
'132', 'user4Completions/clicks', '自定义数据4转化率', '4', '0', NULL
'133', 'user5Completions/clicks', '自定义数据5转化率', '4', '0', NULL
'134', 'user6Completions/clicks', '自定义数据6转化率', '4', '0', NULL
'135', 'user7Completions/clicks', '自定义数据7转化率', '4', '0', NULL
'136', 'user8Completions/clicks', '自定义数据8转化率', '4', '0', NULL
'137', 'user9Completions/clicks', '自定义数据9转化率', '4', '0', NULL
'138', 'user10Completions/clicks', '自定义数据10转化率', '4', '0', NULL
'139', 'user11Completions/clicks', '自定义数据11转化率', '4', '0', NULL
'140', 'user12Completions/clicks', '自定义数据12转化率', '4', '0', NULL
'141', 'user13Completions/clicks', '自定义数据13转化率', '4', '0', NULL
'142', 'user14Completions/clicks', '自定义数据14转化率', '4', '0', NULL
'143', 'user15Completions/clicks', '自定义数据15转化率', '4', '0', NULL
'144', 'user16Completions/clicks', '自定义数据16转化率', '4', '0', NULL
'145', 'user17Completions/clicks', '自定义数据17转化率', '4', '0', NULL
'146', 'user18Completions/clicks', '自定义数据18转化率', '4', '0', NULL
'147', 'user19Completions/clicks', '自定义数据19转化率', '4', '0', NULL
'148', 'user20Completions/clicks', '自定义数据20转化率', '4', '0', NULL
'149', 'cost/user4Completions', '每自定义数据4花费', '4', '0', NULL
'150', 'cost/user5Completions', '每自定义数据5花费', '4', '0', NULL
'151', 'cost/user6Completions', '每自定义数据6花费', '4', '0', NULL
'152', 'cost/user7Completions', '每自定义数据7花费', '4', '0', NULL
'153', 'cost/user8Completions', '每自定义数据8花费', '4', '0', NULL
'154', 'cost/user9Completions', '每自定义数据9花费', '4', '0', NULL
'155', 'cost/user10Completions', '每自定义数据10花费', '4', '0', NULL
'156', 'cost/user11Completions', '每自定义数据11花费', '4', '0', NULL
'157', 'cost/user12Completions', '每自定义数据12花费', '4', '0', NULL
'158', 'cost/user13Completions', '每自定义数据13花费', '4', '0', NULL
'159', 'cost/user14Completions', '每自定义数据14花费', '4', '0', NULL
'160', 'cost/user15Completions', '每自定义数据15花费', '4', '0', NULL
'161', 'cost/user16Completions', '每自定义数据16花费', '4', '0', NULL
'162', 'cost/user17Completions', '每自定义数据17花费', '4', '0', NULL
'163', 'cost/user18Completions', '每自定义数据18花费', '4', '0', NULL
'164', 'cost/user19Completions', '每自定义数据19花费', '4', '0', NULL
'165', 'cost/user20Completions', '每自定义数据20花费', '4', '0', NULL
'166', 'CAnalysis1/clicks', 'CA转化1转化率', '4', '0', NULL
'167', 'CAnalysis2/clicks', 'CA转化2转化率', '4', '0', NULL
'168', 'CAnalysis3/clicks', 'CA转化3转化率', '4', '0', NULL
'169', 'CAnalysis4/clicks', 'CA转化4转化率', '4', '0', NULL
'170', 'CAnalysis5/clicks', 'CA转化5转化率', '4', '0', NULL
'171', 'CAnalysis6/clicks', 'CA转化6转化率', '4', '0', NULL
'172', 'CAnalysis7/clicks', 'CA转化7转化率', '4', '0', NULL
'173', 'CAnalysis8/clicks', 'CA转化8转化率', '4', '0', NULL
'174', 'CAnalysis9/clicks', 'CA转化9转化率', '4', '0', NULL
'175', 'CAnalysis10/clicks', 'CA转化10转化率', '4', '0', NULL
'176', 'CAnalysis11/clicks', 'CA转化11转化率', '4', '0', NULL
'177', 'CAnalysis12/clicks', 'CA转化12转化率', '4', '0', NULL
'178', 'CAnalysis13/clicks', 'CA转化13转化率', '4', '0', NULL
'179', 'CAnalysis14/clicks', 'CA转化14转化率', '4', '0', NULL
'180', 'CAnalysis15/clicks', 'CA转化15转化率', '4', '0', NULL
'181', 'CAnalysis16/clicks', 'CA转化16转化率', '4', '0', NULL
'182', 'CAnalysis17/clicks', 'CA转化17转化率', '4', '0', NULL
'183', 'CAnalysis18/clicks', 'CA转化18转化率', '4', '0', NULL
'184', 'CAnalysis19/clicks', 'CA转化19转化率', '4', '0', NULL
'185', 'CAnalysis20/clicks', 'CA转化20转化率', '4', '0', NULL
'186', 'cost/CAnalysis1', '每CA转化1花费', '4', '0', NULL
'187', 'cost/CAnalysis2', '每CA转化2花费', '4', '0', NULL
'188', 'cost/CAnalysis3', '每CA转化3花费', '4', '0', NULL
'189', 'cost/CAnalysis4', '每CA转化4花费', '4', '0', NULL
'190', 'cost/CAnalysis5', '每CA转化5花费', '4', '0', NULL
'191', 'cost/CAnalysis6', '每CA转化6花费', '4', '0', NULL
'192', 'cost/CAnalysis7', '每CA转化7花费', '4', '0', NULL
'193', 'cost/CAnalysis8', '每CA转化8花费', '4', '0', NULL
'194', 'cost/CAnalysis9', '每CA转化9花费', '4', '0', NULL
'195', 'cost/CAnalysis10', '每CA转化10花费', '4', '0', NULL
'196', 'cost/CAnalysis11', '每CA转化11花费', '4', '0', NULL
'197', 'cost/CAnalysis12', '每CA转化12花费', '4', '0', NULL
'198', 'cost/CAnalysis13', '每CA转化13花费', '4', '0', NULL
'199', 'cost/CAnalysis14', '每CA转化14花费', '4', '0', NULL
'200', 'cost/CAnalysis15', '每CA转化15花费', '4', '0', NULL
'201', 'cost/CAnalysis16', '每CA转化16花费', '4', '0', NULL
'202', 'cost/CAnalysis17', '每CA转化17花费', '4', '0', NULL
'203', 'cost/CAnalysis18', '每CA转化18花费', '4', '0', NULL
'204', 'cost/CAnalysis19', '	每CA转化19花费', '4', '0', NULL
'205', 'cost/CAnalysis20', '每CA转化20花费', '4', '0', NULL
'206', 'goal1Completions/clicks', 'GA转化目标1转化率', '4', '0', NULL
'207', 'goal2Completions/clicks', 'GA转化目标2转化率', '4', '0', NULL
'208', 'goal3Completions/clicks', 'GA转化目标3转化率', '4', '0', NULL
'209', 'goal4Completions/clicks', 'GA转化目标4转化率', '4', '0', NULL
'210', 'goal5Completions/clicks', 'GA转化目标5转化率', '4', '0', NULL
'211', 'goal6Completions/clicks', 'GA转化目标6转化率', '4', '0', NULL
'212', 'goal7Completions/clicks', 'GA转化目标7转化率', '4', '0', NULL
'213', 'goal8Completions/clicks', 'GA转化目标8转化率', '4', '0', NULL
'214', 'goal9Completions/clicks', 'GA转化目标9转化率', '4', '0', NULL
'215', 'goal10Completions/clicks', 'GA转化目标10转化率', '4', '0', NULL
'216', 'goal11Completions/clicks', 'GA转化目标11转化率', '4', '0', NULL
'217', 'goal12Completions/clicks', 'GA转化目标12转化率', '4', '0', NULL
'218', 'goal13Completions/clicks', 'GA转化目标13转化率', '4', '0', NULL
'219', 'goal14Completions/clicks', 'GA转化目标14转化率', '4', '0', NULL
'220', 'goal15Completions/clicks', 'GA转化目标15转化率', '4', '0', NULL
'221', 'goal16Completions/clicks', 'GA转化目标16转化率', '4', '0', NULL
'222', 'goal17Completions/clicks', 'GA转化目标17转化率', '4', '0', NULL
'223', 'goal18Completions/clicks', 'GA转化目标18转化率', '4', '0', NULL
'224', 'goal19Completions/clicks', 'GA转化目标19转化率', '4', '0', NULL
'225', 'goal20Completions/clicks', 'GA转化目标20转化率', '4', '0', NULL
'226', 'cost/goal1Completions', '每GA转化目标1花费', '4', '0', NULL
'227', 'cost/goal2Completions', '每GA转化目标2花费', '4', '0', NULL
'228', 'cost/goal3Completions', '每GA转化目标3花费', '4', '0', NULL
'229', 'cost/goal4Completions', '每GA转化目标4花费', '4', '0', NULL
'230', 'cost/goal5Completions', '每GA转化目标5花费', '4', '0', NULL
'231', 'cost/goal6Completions', '每GA转化目标6花费', '4', '0', NULL
'232', 'cost/goal7Completions', '每GA转化目标7花费', '4', '0', NULL
'233', 'cost/goal8Completions', '每GA转化目标8花费', '4', '0', NULL
'234', 'cost/goal9Completions', '每GA转化目标9花费', '4', '0', NULL
'235', 'cost/goal10Completions', '每GA转化目标10花费', '4', '0', NULL
'236', 'cost/goal11Completions', '每GA转化目标11花费', '4', '0', NULL
'237', 'cost/goal12Completions', '每GA转化目标12花费', '4', '0', NULL
'238', 'cost/goal13Completions', '每GA转化目标13花费', '4', '0', NULL
'239', 'cost/goal14Completions', '每GA转化目标14花费', '4', '0', NULL
'240', 'cost/goal15Completions', '每GA转化目标15花费', '4', '0', NULL
'241', 'cost/goal16Completions', '每GA转化目标16花费', '4', '0', NULL
'242', 'cost/goal17Completions', '每GA转化目标17花费', '4', '0', NULL
'243', 'cost/goal18Completions', '每GA转化目标18花费', '4', '0', NULL
'244', 'cost/goal19Completions', '每GA转化目标19花费', '4', '0', NULL
'245', 'cost/goal20Completions', '每GA转化目标20花费', '4', '0', NULL
'246', 'Ccalls1Completions/clicks', 'CC转化1转化率', '4', '0', NULL
'247', 'Ccalls2Completions/clicks', 'CC转化2转化率', '4', '0', NULL
'248', 'Ccalls3Completions/clicks', 'CC转化3转化率', '4', '0', NULL
'249', 'Ccalls4Completions/clicks', 'CC转化4转化率', '4', '0', NULL
'250', 'Ccalls5Completions/clicks', 'CC转化5转化率', '4', '0', NULL
'251', 'Ccalls6Completions/clicks', 'CC转化6转化率', '4', '0', NULL
'252', 'Ccalls7Completions/clicks', 'CC转化7转化率', '4', '0', NULL
'253', 'Ccalls8Completions/clicks', 'CC转化8转化率', '4', '0', NULL
'254', 'Ccalls9Completions/clicks', 'CC转化9转化率', '4', '0', NULL
'255', 'Ccalls10Completions/clicks', 'CC转化10转化率', '4', '0', NULL
'256', 'Ccalls11Completions/clicks', 'CC转化11转化率', '4', '0', NULL
'257', 'Ccalls12Completions/clicks', 'CC转化12转化率', '4', '0', NULL
'258', 'Ccalls13Completions/clicks', 'CC转化13转化率', '4', '0', NULL
'259', 'Ccalls14Completions/clicks', 'CC转化14转化率', '4', '0', NULL
'260', 'Ccalls15Completions/clicks', 'CC转化15转化率', '4', '0', NULL
'261', 'Ccalls16Completions/clicks', 'CC转化16转化率', '4', '0', NULL
'262', 'Ccalls17Completions/clicks', 'CC转化17转化率', '4', '0', NULL
'263', 'Ccalls18Completions/clicks', 'CC转化18转化率', '4', '0', NULL
'264', 'Ccalls19Completions/clicks', 'CC转化19转化率', '4', '0', NULL
'265', 'Ccalls20Completions/clicks', 'CC转化20转化率', '4', '0', NULL
'266', 'cost/Ccalls1Completions', '每CC转化1花费', '4', '0', NULL
'267', 'cost/Ccalls2Completions', '每CC转化2花费', '4', '0', NULL
'268', 'cost/Ccalls3Completions', '每CC转化3花费', '4', '0', NULL
'269', 'cost/Ccalls4Completions', '每CC转化4花费', '4', '0', NULL
'270', 'cost/Ccalls5Completions', '每CC转化5花费', '4', '0', NULL
'271', 'cost/Ccalls6Completions', '每CC转化6花费', '4', '0', NULL
'272', 'cost/Ccalls7Completions', '每CC转化7花费', '4', '0', NULL
'273', 'cost/Ccalls8Completions', '每CC转化8花费', '4', '0', NULL
'274', 'cost/Ccalls9Completions', '每CC转化9花费', '4', '0', NULL
'275', 'cost/Ccalls10Completions', '每CC转化10花费', '4', '0', NULL
'276', 'cost/Ccalls11Completions', '每CC转化11花费', '4', '0', NULL
'277', 'cost/Ccalls12Completions', '每CC转化12花费', '4', '0', NULL
'278', 'cost/Ccalls13Completions', '每CC转化13花费', '4', '0', NULL
'279', 'cost/Ccalls14Completions', '每CC转化14花费', '4', '0', NULL
'280', 'cost/Ccalls15Completions', '每CC转化15花费', '4', '0', NULL
'281', 'cost/Ccalls16Completions', '每CC转化16花费', '4', '0', NULL
'282', 'cost/Ccalls17Completions', '每CC转化17花费', '4', '0', NULL
'283', 'cost/Ccalls18Completions', '每CC转化18花费', '4', '0', NULL
'284', 'cost/Ccalls19Completions', '每CC转化19花费', '4', '0', NULL
'285', 'cost/Ccalls20Completions', '每CC转化20花费', '4', '0', NULL
'286', 'swtSearchWord', '搜索词', '1', '1', NULL
'287', 'swtName', '名称', '2', '2', NULL
'288', 'swtName_yue', '名称(约)', '2', '2', NULL
'289', 'swtGoodTalk', '极佳对话', '2', '2', NULL
'290', 'swtBetterTalk', '较好对话', '2', '2', NULL
'291', 'swtOnlyVisit', '仅访问', '2', '2', NULL
'292', 'swtNoMessage', '客人无讯息', '2', '2', NULL
'293', 'swtOtherTalk', '其他有效对话', '2', '2', NULL
'294', 'swtCommonTalk', '一般对话', '2', '2', NULL
'295', 'swtSumTalk', '对话合计', '2', '2', NULL
'296', 'swtVisitorMessage', '客人讯息数', '2', '2', NULL
'297', 'swtServiceMessage', '客服讯息数', '2', '2', NULL
'298', 'conversion', '转化(百度)', '2', '2', '8'
'299', 'quantity', '数量(GA电商)', '5', '2', NULL
'300', 'uniquepurchases', '唯一身份购买(GA电商)', '5', '2', NULL
'301', 'productrevenue', '产品收入(GA电商)', '5', '2', NULL
'302', 'averageprice', '平均价格(GA电商)', '5', '2', NULL
'303', 'averageqty', '平均数量(GA电商)', '5', '2', NULL
